SampleID	Mouth	Nasal	Skin	Stool	Unknown
2RX99HRFDJUTH	0.00141101502048	0.00418752844788	0.45530268548	4.5516613564e-05	0.539053254438
1TZMI2JTSRKP	0.00029839612085	0.00164117866468	0.299888101455	0.00753450205147	0.690637821708
5Q5EDBR3WQ9FS	0.00129705789307	0.159601391964	0.567763366023	0.000316355583676	0.271021828535
4HERH86VL5HFN	0.000183688464364	0.537968405584	0.240227773696	0.0	0.221620132256
4QLANGUEXA8C	8.96760452865e-05	0.000127788364533	0.131357471136	1.12095056608e-05	0.868413854949
7N8IJTHU1TIKX	0.000587851077727	0.0445460483344	0.532331809275	0.000261267145657	0.422273024167
77UDCR75EEAVC	9.1033227128e-05	0.00357305416477	0.816522530724	0.00216203914429	0.17765134274
2E7I2LD8VA0MZ	0.000199927299164	0.000381679389313	0.373300617957	0.0015812431843	0.62453653217
1IQ6CDX0HQUIN	2.99640431482e-05	0.014482620855	0.130813024371	0.000719137035558	0.853955253696
5VPUNL3C5WFQ4	0.000160200599011	0.0016786236679	0.698523368392	0.00027860973741	0.299359197604
52XJNHXQ4EJ1A	1.8154311649e-05	7.26172465961e-05	0.0350801815431	1.8154311649e-05	0.964810892587
1VTTIX25ZZDYS	0.000233628805057	0.000405414691129	0.0119425547997	0.000714629286058	0.986703772418
2JSSGRKKW0J42	0.00409299279633	0.00261951538965	0.365389652914	0.000622134905043	0.627275703995
6FDBNDCUN1SZS	0.0	0.0333333333333	0.266666666666	0.0333333333333	0.666666666667
6SVBDL4HPTOH5	nan	nan	nan	nan	nan
JLK5T4LP23IJ	9.9561927519e-05	0.000935882118678	0.741218637993	0.00073675826364	0.257009159697
2RTHOIFZJHFMS	1.12302768263e-05	0.000134763321916	0.0535010388006	0.00723229827615	0.939120669325
O1YVTJXUCWHZ	7.729767334e-06	0.00381077529566	0.00267449949756	0.000123676277344	0.993383319162
1KWAU7NBOUGA	0.00583214793741	0.00064011379801	0.0171408250356	0.00192034139403	0.974466571835
5939U7NVM1NV8	0.000427938254624	0.0226348769678	0.128885832187	0.00117683020022	0.84687452239
4SSF0K8E5316I	0.000453684708853	0.0412300773237	0.0461259270948	9.46820261953e-05	0.912095628846
3SAX7YWQDS34W	0.000500676589987	0.000311231393775	0.243815967524	2.70635994588e-05	0.755345060893
DABX5HVX7KKW	0.00154817681809	0.00364636382155	0.588755347321	0.000264819718883	0.40578529232
61B42QACHBAH	0.0	0.0	0.3	0.0	0.7
6QCH5KT5WFGKD	0.000134098189674	0.00678685837741	0.618781196454	0.000514043060419	0.373783803919
1Z5P0UANLUV9K	1.61108425971e-05	0.000225551796359	0.0283228612856	0.000289995166747	0.971145480908
