SampleID	Flagstaff 1 inhabitant	flagstaff	sandiego	toronto	Unknown
5L17I72W5VY4E	0.0128	0.0215	0.0096	0.1246	0.8315
1PD38BIVXXGXG	0.3421	0.0523	0.0258	0.0149	0.5649
3CN967WP32XXI	0.011	0.0098	0.0141	0.0049	0.9602
YLLN3XRZPYDS	0.0004	0.0003	0.0003	0.0027	0.9963
6S2VGW0RCMFXR	0.0175	0.0556	0.0096	0.1036	0.8137
3JWIWFWKR2U9K	0.0105	0.0038	0.0066	0.013	0.9661
5PKMB5TQUSKZG	0.0078	0.0176	0.0529	0.0062	0.9155
5WYNIC7YA69ZS	0.3252	0.086	0.059	0.146	0.3838
5I8OY23HZ78KR	0.0319	0.0509	0.0186	0.1006	0.798
66WRG0ZL3SQAC	0.0641	0.0053	0.0035	0.0215	0.9056
7RGX2G8YFC1J3	0.0422	0.0583	0.0389	0.3614	0.4992
2LO3QH57TLVAS	0.0245	0.1262	0.0108	0.042	0.7965
73EGAL1RONG9O	0.0116	0.0104	0.004	0.0052	0.9688
6QWKRKNSPXHLO	0.0195	0.0172	0.0135	0.0413	0.9085
24N5BDEO6WVJ1	0.0055	0.0037	0.007	0.0077	0.9761
MYRLXOR9173C	0.0395	0.0751	0.0256	0.1107	0.7491
63AMF7G7GC27L	0.0185	0.0303	0.0241	0.059	0.8681
3JORIZDC72JF6	0.0256	0.0104	0.0143	0.0305	0.9192
2932DJK1WNQ4P	0.5716	0.1189	0.0346	0.0793	0.1956
42M1UD2HPBX1E	0.0442	0.0945	0.0184	0.0585	0.7844
445IMLOZOH59Q	0.02	0.0387	0.0047	0.0213	0.9153
OIHBBJJBG2DB	0.0343	0.0734	0.0054	0.0049	0.882
5AREX8C3NXECO	0.0133	0.071	0.0085	0.0788	0.8284
49Q7U09I0WYLP	0.0264	0.0267	0.0261	0.1034	0.8174
5S5PUORQXZPMX	0.0052	0.0172	0.018	0.0073	0.9523
1X6YETTYLYOE3	0.0824	0.032	0.0117	0.0198	0.8541
1E06D72WSB6GR	0.0884	0.1057	0.111	0.1677	0.5272
1RQX5GAWS5WZ2	0.0109	0.0093	0.0059	0.0078	0.9661
5QFNW81ZYBG7R	0.1666	0.042	0.0411	0.3085	0.4418
23GUM21PK7X6Y	0.0184	0.0185	0.0096	0.0223	0.9312
4I616OUMEVGBH	0.0242	0.0749	0.031	0.0155	0.8544
4IHVO5SRDBK9V	0.0035	0.0031	0.0028	0.0035	0.9871
22NBL2RAGP1KF	0.0303	0.0549	0.0174	0.0183	0.8791
3U7YS2OXJM11	0.0147	0.0352	0.0079	0.0503	0.8919
1IF621XA6CQLR	0.0739	0.1173	0.0114	0.1277	0.6697
1D7VUPUL9MU7O	0.0022	0.002	0.003	0.0022	0.9906
3QIUV4SL7KK0O	0.0307	0.0163	0.0108	0.0498	0.8924
33KFNIIAKRC25	0.2528	0.0467	0.033	0.0737	0.5938
2FMSNVBJMTT6W	0.0434	0.0228	0.0197	0.0138	0.9003
37JWLGA6USAID	0.1798	0.0787	0.066	0.245	0.4305
6VJWR4R9NO98R	0.0188	0.0058	0.0815	0.0477	0.8462
66M062BFR5X9U	0.1651	0.1701	0.1799	0.0801	0.4048
7RJF7W0LWWXGO	0.0233	0.0949	0.0128	0.0644	0.8046
FBE5Y7D89XWY	0.0184	0.0186	0.0151	0.0126	0.9353
6LG1R4RHL33Y4	0.1183	0.4146	0.0223	0.2729	0.1719
4QLUMLJ1OBLW0	0.3203	0.0446	0.0698	0.1508	0.4145
5OQUD1B1O02BA	0.0169	0.0676	0.0191	0.1072	0.7892
4XJ3CP1X7GOSO	0.0291	0.0274	0.057	0.0249	0.8616
4AKPFXT4DEGA	0.0194	0.0922	0.0383	0.1793	0.6708
7D12A3JPRBU9K	0.1979	0.0224	0.0229	0.2918	0.465
OPZRMUHS6Q62	0.0034	0.0011	0.0044	0.0024	0.9887
4Z4WW5KNTNWOA	0.0235	0.1472	0.1971	0.2705	0.3617
10TXIAT8JR0BP	0.0136	0.0227	0.0086	0.0132	0.9419
769E0FMTF9318	0.0191	0.0218	0.0285	0.19	0.7406
2RAT910TH3AH2	0.0662	0.0365	0.0101	0.1176	0.7696
4LFEMEERENPJF	0.019	0.0378	0.2439	0.0622	0.6371
1BPT0054XMWP	0.0192	0.0325	0.0156	0.0534	0.8793
UW7PEXWKVH8J	0.0135	0.0091	0.0118	0.0132	0.9524
4U6H3C4LBSACZ	0.0132	0.0247	0.0123	0.009	0.9408
1I5897PQUBH2	0.3722	0.0505	0.123	0.2367	0.2176
4XW3Y6CQTWEJV	0.054	0.066	0.0291	0.0786	0.7723
4YG7NEAOIW3FX	0.0447	0.1383	0.0675	0.0564	0.6931
3EANL0ZDQNF4S	0.0273	0.038	0.0082	0.091	0.8355
6WFXXJTC8S0SV	0.0703	0.0583	0.0801	0.1361	0.6552
6OVEZULG64DIA	0.0039	0.0038	0.0045	0.0053	0.9825
5AVC71S0S96ZG	0.1516	0.0944	0.1146	0.4205	0.2189
5WLMTMTTS8WDU	0.0149	0.0186	0.0202	0.033	0.9133
57FYV3URBQ9KJ	0.0597	0.0954	0.1072	0.2551	0.4826
RFFCBFOD3AZ6	0.0216	0.0187	0.0051	0.0352	0.9194
G50MMRCP1WG2	0.02	0.0402	0.0145	0.0517	0.8736
5SDHBDEADHOC2	0.1259	0.0614	0.053	0.2524	0.5073
QNT6S6S7CYAD	0.0029	0.0018	0.0072	0.0077	0.9804
6DO971DM9GS1O	0.0145	0.0154	0.0113	0.0068	0.952
30BB869QJQDQL	0.1371	0.0244	0.1008	0.2323	0.5054
4G3PAYFL72QFA	0.0419	0.0499	0.0368	0.1265	0.7449
DBWSI1TYKTWK	0.0183	0.3735	0.0356	0.0501	0.5225
UNPKIPTR2998	0.0137	0.0038	0.0124	0.167	0.8031
3HBFCWYKNVPM3	0.0026	0.0025	0.0035	0.0025	0.9889
3A15Y41KMT93H	0.0141	0.0184	0.0147	0.2909	0.6619
2HFP7UE3G3CCM	0.0614	0.0544	0.1876	0.2384	0.4582
7CLAM18YK1LJ5	0.0239	0.1566	0.0245	0.0319	0.7631
4FCFLHRUDCRJG	0.0146	0.0522	0.0287	0.0412	0.8633
1KWXC88J0EN4W	0.0782	0.1049	0.1967	0.3058	0.3144
30XWZLW0UTAPH	0.0042	0.0101	0.003	0.0073	0.9754
KOOCQQHH86CR	0.0617	0.0277	0.2542	0.1763	0.4801
30I5BJL9NJ1Z2	0.1352	0.0713	0.1418	0.2897	0.362
57WHALUCSTFFV	0.1909	0.0974	0.0649	0.4366	0.2102
66U9AL7XM7UCR	0.0133	0.0117	0.0054	0.0101	0.9595
7OE7Z54O4Q3X5	0.0376	0.0209	0.0104	0.0257	0.9054
MNF1ZAHCM12Z	0.3322	0.0708	0.1257	0.077	0.3943
HE7VZ2YMLXWF	0.002	0.0012	0.0061	0.0014	0.9893
79ROXM2VN18WD	0.1239	0.3094	0.0425	0.0521	0.4721
1WRM6KACOCS6B	0.0179	0.1726	0.4542	0.0883	0.267
6MIX0X539ZJQP	0.0239	0.1467	0.0112	0.1924	0.6258
5RA9Y9FSWOB2O	0.02	0.0499	0.0082	0.0439	0.878
4F7O4JDILYYV6	0.0278	0.0077	0.0085	0.0125	0.9435
4QM3JQRBRL8XN	0.3857	0.1645	0.1553	0.0643	0.2302
34CJK44G1JAZH	0.0364	0.0618	0.0127	0.0629	0.8262
346G4YEGC1W16	0.0113	0.0029	0.0077	0.0084	0.9697
NLPGOVXC11J1	0.1805	0.2433	0.1335	0.1137	0.329
11C7BSVN8M4ZP	0.01	0.0087	0.0141	0.0082	0.959
6FO2XC0ZZOM0A	0.0242	0.1045	0.0455	0.0498	0.776
QF27YTQ5RR46	0.0475	0.1766	0.408	0.0228	0.3451
574J4Z3VQNT50	0.0245	0.0392	0.0091	0.0565	0.8707
1BJ5UGGI8272J	0.327	0.225	0.028	0.072	0.348
EW7RVMQKS26E	0.0939	0.0201	0.0369	0.4052	0.4439
3VKAKGDKI2OI3	0.0304	0.1008	0.0165	0.1683	0.684
2MS57HYT1ZKQX	0.0259	0.0999	0.0147	0.2167	0.6428
3WWL986YGZYVW	0.0222	0.0493	0.0137	0.1513	0.7635
5EUBAP3CVQVCE	0.1025	0.0796	0.0794	0.3519	0.3866
4TAFWX2IQOISV	0.0338	0.0653	0.0208	0.0648	0.8153
3O2F9MW1N0HA5	0.0284	0.031	0.0205	0.0282	0.8919
2MYKMR6DNW9BA	0.3152	0.1818	0.0631	0.0337	0.4062
5TH0Y3RBFC3OX	0.0402	0.2151	0.1074	0.0655	0.5718
5K4XHUVUD07DE	0.2249	0.0514	0.1024	0.3439	0.2774
18P2BQTV4IKCH	0.0025	0.0026	0.0021	0.0069	0.9859
690TZ66CIPQT1	0.1074	0.0679	0.2505	0.0449	0.5293
65MYZX15HXZOV	0.139	0.2547	0.054	0.2667	0.2856
2X09U5WCPF8MK	0.0571	0.0399	0.088	0.0645	0.7505
2ANV3ZI7TWKN2	0.0027	0.0042	0.0022	0.0029	0.988
19MRJOSHFMVNF	0.0406	0.0536	0.1135	0.4871	0.3052
1XG4WO1GSPVXO	0.0783	0.0921	0.0112	0.0987	0.7197
AEYRI5OWXLAP	0.0022	0.0006	0.0015	0.0016	0.9941
3W4Z3OY2B9M73	0.0304	0.0508	0.0099	0.0166	0.8923
66DQYBBN0MCC6	0.0689	0.1467	0.2377	0.2735	0.2732
