SampleID	Flagstaff 1 inhabitant	flagstaff	sandiego	toronto	Unknown
77FOPQZS1Y1DB	0.1253	0.0439	0.1036	0.1086	0.6186
5GU50ZQQLYPB0	0.0158	0.0242	0.0119	0.0311	0.917
2NS3KIDHVXH32	0.0164	0.0284	0.0152	0.0446	0.8954
4WA50HYLD6ADY	0.022	0.062	0.0117	0.0712	0.8331
4P0FAWWDK0WO	0.0192	0.0667	0.4479	0.0754	0.3908
1WXUZXVR8D3EX	0.0318	0.0127	0.0575	0.0469	0.8511
50ZQBKOQKPYRQ	0.1255	0.4478	0.0535	0.121	0.2522
3NJ5URZTGKGAC	0.2339	0.2359	0.018	0.0451	0.4671
72YFSLM19L8CD	0.2782	0.0553	0.0456	0.082	0.5389
2U5C7JELUB9PR	0.2949	0.2831	0.0633	0.0557	0.303
JIT384O47KJB	0.1493	0.0523	0.1181	0.4443	0.236
56EXDT9DRGQ59	0.0384	0.4284	0.0409	0.2503	0.242
2BSQS5A7PCA4P	0.0139	0.0616	0.0102	0.0565	0.8578
16ZR1HPNJ5K7H	0.0216	0.063	0.0101	0.0366	0.8687
4C9EI35Z6BKBG	0.0252	0.0154	0.0147	0.0236	0.9211
6TYV3JKTN5ROR	0.1368	0.0314	0.0731	0.0171	0.7416
67ARQ37J3B083	0.002	0.0009	0.0012	0.0019	0.994
DX6LQCGBK4LF	0.0398	0.0898	0.0225	0.0806	0.7673
5N2D9X58PP27S	0.0013	0.001	0.0006	0.0018	0.9953
5V5614FJH7U6D	0.0664	0.1243	0.0646	0.0932	0.6515
4OM9Q80N5VR4A	0.0361	0.0192	0.012	0.0533	0.8794
FM5J4YTGEES7	0.029	0.0221	0.0217	0.0165	0.9107
3XSA2SR6LL0HS	0.0223	0.0177	0.0181	0.0151	0.9268
4R675QLYL39YY	0.0295	0.0679	0.0645	0.076	0.7621
2829TE6YFNTR2	0.034	0.0638	0.0042	0.0458	0.8522
3731T3SQX6EOT	0.02	0.0347	0.0062	0.0226	0.9165
5YU7LYXKFJLDE	0.0071	0.004	0.0037	0.0096	0.9756
7IIRHRW0FNHKO	0.0515	0.0097	0.1122	0.0294	0.7972
U4P2T1VNVVB2	0.5025	0.1446	0.0486	0.1023	0.202
1Y1NJTH2DH5TF	0.0416	0.0417	0.0917	0.0616	0.7634
7LID2FF7TEIEF	0.0135	0.0191	0.0102	0.0105	0.9467
2VN4Y94K3FY79	0.0212	0.0564	0.0263	0.1939	0.7022
3LX3E68SR3LD3	0.0051	0.0072	0.0028	0.008	0.9769
5BHCOHO6JJQYH	0.0064	0.007	0.0059	0.0083	0.9724
29JTMYOMLIV6X	0.0101	0.0195	0.2904	0.0267	0.6533
76YTXEIC4C5JR	0.0172	0.0092	0.0098	0.0686	0.8952
53K5I5NBAZ3UX	0.0353	0.0241	0.0303	0.0335	0.8768
3UHX4YGIZPISS	0.0454	0.0909	0.2689	0.2344	0.3604
3H664W6ZLGAPA	0.0182	0.0086	0.0068	0.0051	0.9613
2AALLCZ4477U8	0.0033	0.0047	0.0067	0.0052	0.9801
3IVHF5B76TAUA	0.034	0.0048	0.0361	0.0254	0.8997
