#SampleID	Env	SourceSink
3CN967WP32XXI	S3C.3.Dr.004	sink
ONZGHJEH54BR	S3C.3.Dr.005	sink
5SZHSTAG4S8B3	S3C.3.Dr.003	sink
1WA319THDSWSH	T3C.3.Dr.010	sink
70LLDLKJ1G0RT	F2C.3.Dr.001	sink
4CMBNV78FI762	F2C.3.Dr.002	sink
3XSA2SR6LL0HS	F2C.3.Dr.003	sink
6E4IPE4XNAAVD	T3W.3.Dr.010	sink
6D0H8DBCEWLF8	S3W.3.Dr.010	sink
F0VPWO73F43C	F3C.3.Dr.001	sink
29C29I5E1IKCJ	F3C.3.Dr.003	sink
43N8T3MKZM0LQ	F3C.3.Dr.002	sink
10TXIAT8JR0BP	S2C.3.Dr.010	sink
655FUMKA7E4B1	S2C.3.Dr.011	sink
3H664W6ZLGAPA	S2C.3.Dr.012	sink
5BHCOHO6JJQYH	S1F.3.Dr.021	sink
3934GJOEQNVP2	T3W.3.Dr.019	sink
49Q7U09I0WYLP	F2F.3.Dr.021	sink
63LDSE7NOGJ2U	F3W.3.Dr.001	sink
3FM42NUD2IPH3	F3W.3.Dr.003	sink
RMUCXH2GKVVC	F3W.3.Dr.002	sink
5VYCP98447ZUO	S3C.3.Dr.011	sink
37Z2ZIUTIA68X	S3C.3.Dr.010	sink
55ROQ1H2F5YW	T1F.3.Dr.019	sink
59HA11SIQ29Y8	T3C.3.Dr.003	sink
1D7VUPUL9MU7O	F2C.3.Dr.012	sink
48E62DOE59B9J	F2C.3.Dr.011	sink
1KEWCNB3JBHNS	F2C.3.Dr.010	sink
3LX3E68SR3LD3	F2C.3.Dr.019	sink
3731T3SQX6EOT	F2W.3.Dr.012	sink
J3S3DFGB8L32	F2W.3.Dr.011	sink
2ZDD332U5CFE0	F2F.3.Dr.050	sink
BE3DCPJJELS9	F2F.3.Dr.059	sink
6UQQ2ZYP0O3KG	S2C.3.Dr.033	sink
13Y52GS1YV9OO	S1F.3.Dr.042	sink
P43HEC04Y30E	S1F.3.Dr.041	sink
OO2W6SYUE78C	T3C.3.Dr.022	sink
1A94DZ6HNG5KO	S3W.3.Dr.051	sink
NS1PRQW9AFO8	S1F.3.Dr.060	sink
G50MMRCP1WG2	S1W.3.Dr.051	sink
2A06L0PICLGX7	T3C.3.Dr.041	sink
1V64ZY9GIOA8X	T3C.3.Dr.040	sink
3WOC1H75QGDY8	T1W.3.Dr.050	sink
18P2BQTV4IKCH	T1W.3.Dr.059	sink
5Y6J304UY8HNJ	T3C.3.Dr.031	sink
5JCHHXOT4BAZ9	F3C.3.Dr.031	sink
3VKAKGDKI2OI3	F1F.3.Dr.031	sink
62PG1OF5GLUFB	S3F.3.Dr.033	sink
5G8DDGZK2G4IV	T1W.3.Dr.031	sink
4037J4NV0G19V	S1C.3.Dr.024	sink
1C3XTEAKEI7O4	T1C.3.Dr.022	sink
4YQ895DAH7N69	T1F.3.Dr.031	sink
7F2GVQR1IWXJU	S3F.3.Dr.051	sink
MYRLXOR9173C	S1C.3.Dr.042	sink
5RA9Y9FSWOB2O	F3C.3.Dr.059	sink
4WA50HYLD6ADY	S1W.3.Dr.033	sink
42M1UD2HPBX1E	S3C.3.Dr.051	sink
3NS09AMFVEQD4	S2F.3.Dr.060	sink
16ZR1HPNJ5K7H	F3C.3.Dr.022	sink
207TMF2PWG1RZ	S1C.3.Dr.060	sink
26QT8J8O8AVK0	F2C.3.Dr.031	sink
5943Y4IZDM01Z	T2F.3.Dr.031_b	sink
5V5614FJH7U6D	T2F.3.Dr.031_a	sink
375WBE28VA0KM	F3W.3.Dr.022	sink
737A748NOFIF5	S3C.3.Dr.033	sink
3SAX7YWQDS34W	T1C.3.Dr.041	sink
2JSSGRKKW0J42	S2C.3.Dr.024	sink
4DNYF5IQJK3L7	F3F.3.Dr.040	sink
HEK8TKT34NUN	F3F.3.Dr.041	sink
3QIUV4SL7KK0O	T2C.3.Dr.022	sink
76U5ZDGVLP3MT	T1F.3.Dr.059	sink
KG0B93FQ064	T1F.3.Dr.050	sink
1FLKDMR79CDYZ	S1C.3.Dr.041	sink
1EHIWLXM0YOIU	F3F.3.Dr.022	sink
34CJK44G1JAZH	T1C.3.Dr.040	sink
44RMMYY0OIG03	T3C.3.Dr.050	sink
3WWL986YGZYVW	F3W.3.Dr.041	sink
6S2VGW0RCMFXR	F3W.3.Dr.040	sink
1MVBY57N3VKEB	T2W.3.Dr.040	sink
DX6LQCGBK4LF	T2C.3.Dr.040	sink
5I8OY23HZ78KR	T2C.3.Dr.041	sink
3GAHBBMRGV93E	F2W.3.Dr.050	sink
6INS0WX2M6DLD	T2F.3.Dr.050	sink
3UOIB6JS08JZM	T2F.3.Dr.059	sink
D15FBADQGD1B	F1C.3.Dr.041	sink
387FMZ46M2U36	F1C.3.Dr.040	sink
7PDUFA52XQEHZ	F1W.3.Dr.022	sink
1JR7TOIE20DXX	T2W.3.Dr.022	sink
6NMPKSQEF3M57	S2W.3.Dr.024	sink
79NRNSMYIPG9L	T3F.3.Dr.050	sink
3E1OQF6CQCSW	T3F.3.Dr.059	sink
57PK12680DGS8	F1W.3.Dr.041	sink
2JQABBSXEFN6H	F1W.3.Dr.040	sink
1IF621XA6CQLR	T3W.3.Dr.041	sink
6MQOEDOBTZUL3	T3W.3.Dr.040	sink
VY3DUHOS70PB	F2C.3.Dr.059	sink
609LQ68QFU4ON	F2C.3.Dr.050	sink
1TZMI2JTSRKP	S3W.3.Dr.024	sink
2X09U5WCPF8MK	S2W.3.Dr.042	sink
5S6K1TQ5L1POF	S2W.3.Dr.041	sink
4C9EI35Z6BKBG	S2C.3.Dr.042	sink
77FOPQZS1Y1DB	S2C.3.Dr.041	sink
T9ZULBH0VQ0Z	F2W.3.Dr.031	sink
7CUMUUC55F5P7	F1C.3.Dr.022	sink
5AWF83VEN367U	F1F.3.Dr.040	sink
5WXHB3RYQP0C8	F1F.3.Dr.041	sink
DBWSI1TYKTWK	S2W.3.Dr.060	sink
7IPLL57JJG5T5	S2C.3.Dr.060	sink
4UQBVEU8XIC7E	S1F.3.Dr.033	sink
5N2D9X58PP27S	S3F.3.Dr.041	sink
1QSZ3L7B99MH8	S3F.3.Dr.042	sink
2JL13B1CC089O	F2F.3.Dr.022	sink
1WVY4HU8AKKH7	F2W.3.Dr.059	sink
5Q4863B4D8ZS8	F2W.3.Dr.059	sink
7N8IJTHU1TIKX	S3W.3.Dr.060	sink
4R675QLYL39YY	S1F.3.Dr.051	sink
3Q3372HU0ABA9	T3W.3.Dr.022	sink
1NGUOIQJK4I4T	F2C.3.Dr.022	sink
1MKTI3OGZ0QKP	F2F.3.Dr.041	sink
17QRX18F53JWF	F2F.3.Dr.040	sink
7RJF7W0LWWXGO	S3W.3.Dr.042	sink
53K5I5NBAZ3UX	S3W.3.Dr.041	sink
6BE9DJOWUWU7O	S1W.3.Dr.041	sink
3NEZNTBM8Z0LX	S1W.3.Dr.042	sink
30XWZLW0UTAPH	F2C.3.Dr.040	sink
CYN9VIQ8VH3Q	F2C.3.Dr.041	sink
5GU50ZQQLYPB0	F1F.3.Dr.022	sink
5FQ3JYX5DKZUV	S1W.3.Dr.060	sink
5FA2YRE43142T	T1W.3.Dr.041	sink
2RAT910TH3AH2	T1W.3.Dr.040	sink
7NRA7M0SX7XC7	S2F.3.Dr.024	sink
2BSQS5A7PCA4P	T1C.3.Dr.031	sink
2HFP7UE3G3CCM	T1F.3.Dr.022	sink
2OMPPRULPRZSQ	S2F.3.Dr.033	sink
NG01HB3U66Z	S3F.3.Dr.024	sink
54YYCD8CRHA6B	S3C.3.Dr.060	sink
4IHVO5SRDBK9V	T1W.3.Dr.022	sink
4WVWO0PRWOV63	S1C.3.Dr.033	sink
5OJX6PQ7R1RIE	S1W.3.Dr.024	sink
RFFCBFOD3AZ6	S3C.3.Dr.042	sink
3MLPJZ9H8PS11	S3C.3.Dr.041	sink
73L1K18BKO5B9	S3F.3.Dr.060	sink
6H3YVTSQ6IFET	F3C.3.Dr.041	sink
3T4P63FFKKLT2	F3C.3.Dr.040	sink
3EANL0ZDQNF4S	S1C.3.Dr.051	sink
6MIX0X539ZJQP	F3W.3.Dr.031	sink
3YJNB6RSO1Q4Y	S3C.3.Dr.024	sink
12HBX3VX7BHIZ	T1C.3.Dr.059	sink
66SU9FMYUYLIB	T1C.3.Dr.050	sink
TQ9CY2SEP8UO	T1F.3.Dr.040	sink
EW7RVMQKS26E	T1F.3.Dr.041	sink
4WAMUSF5JPKH8	F3F.3.Dr.050	sink
7RGX2G8YFC1J3	F3F.3.Dr.059	sink
3UJI0B0H12S4G	T2C.3.Dr.031	sink
7B2TF5GA2H9MM	T2F.3.Dr.022	sink
7H5SG2373S7ML	T2F.3.Dr.041	sink
72BQUZN59V0YB	T2F.3.Dr.040	sink
1BJ5UGGI8272J	F3F.3.Dr.031	sink
1IQ6CDX0HQUIN	T3C.3.Dr.059	sink
574J4Z3VQNT50	F3W.3.Dr.050	sink
1ML2F8WR2ADMC	F2W.3.Dr.040	sink
6QWKRKNSPXHLO	F2W.3.Dr.041	sink
5AREX8C3NXECO	F1C.3.Dr.059	sink
2MS57HYT1ZKQX	F1C.3.Dr.050	sink
30I5BJL9NJ1Z2	T3F.3.Dr.022	sink
2LO3QH57TLVAS	F1W.3.Dr.031	sink
48C96XMV7GSBT	T2W.3.Dr.059	sink
1KCZH79KLIYQ2	T2W.3.Dr.050	sink
6OOHTJ0M962PE	T2C.3.Dr.050	sink
40P83SNBN893N	T2C.3.Dr.059	sink
2ZE3UIROF5CIX	F3C.3.Dr.050	sink
61BDYWIY9WL8U	S2W.3.Dr.033	sink
AISYDCB83RD2	T3F.3.Dr.040	sink
5EUBAP3CVQVCE	T3F.3.Dr.041	sink
5009PMNB1TOO4	F1W.3.Dr.059	sink
2C0ZZWA0FVV2D	F1W.3.Dr.050	sink
1X6YETTYLYOE3	T3W.3.Dr.059	sink
71IGR5L09LSDF	T3W.3.Dr.050	sink
6F1E2Y5EVG2GZ	T2W.3.Dr.031	sink
4YG7NEAOIW3FX	S2W.3.Dr.051	sink
1BPT0054XMWP	S2C.3.Dr.051	sink
775F6UOW0CULC	S2F.3.Dr.051	sink
4B33SRT0JMLZD	F2W.3.Dr.022	sink
769E0FMTF9318	F1C.3.Dr.031	sink
3OM14KDF5GW2X	S3W.3.Dr.033	sink
ZIPXT6JB5D11	S2F.3.Dr.041	sink
KOOCQQHH86CR	S2F.3.Dr.042	sink
37JWLGA6USAID	F2F.3.Dr.031	sink
JKMVPWW8UGWM	F1F.3.Dr.059	sink
4QLANGUEXA8C	F1F.3.Dr.050	sink
4AKPFXT4DEGA	T2W.3.Dr.041	sink
WUMEK0BJU2CP	S1F.3.Dr.024	sink
57I1KQV9JMSZH	T3W.3.Dr.031	sink
57FYV3URBQ9KJ	T2F.3.Dr.078	sink
5TH0Y3RBFC3OX	T1W.3.Dr.078	sink
WCJ3PGS1DN5P	T2C.3.Dr.078	sink
6MP3J14DSML9F	T3F.3.Dr.078	sink
1WRM6KACOCS6B	T2W.3.Dr.078	sink
4Z4WW5KNTNWOA	T1F.3.Dr.078	sink
5KPYDXY6MPV0M	T3C.3.Dr.078	sink
2P3NL2LCGJI6P	T1C.3.Dr.078	sink
4QLUMLJ1OBLW0	T3W.3.Dr.078	sink
444RYE3GA5VZK	T3F.3.Dr.066	sink
65MYZX15HXZOV	T2W.3.Dr.066	sink
